ID,Smiles,Target Name,Ki,exactmw,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,chi0n,chi1n,chi2n,chi3n,chi4n,hallKierAlpha,kappa1,kappa2,kappa3,Phi,APAAC,GearyAuto_AvFlexibility,GearyAuto_FreeEnergy,GearyAuto_Hydrophobicity,GearyAuto_Mutability,GearyAuto_Polarizability,GearyAuto_ResidueASA,GearyAuto_ResidueVol,GearyAuto_Steric,MoranAuto_AvFlexibility,MoranAuto_FreeEnergy,MoranAuto_Hydrophobicity,MoranAuto_Mutability,MoranAuto_Polarizability,MoranAuto_ResidueASA,MoranAuto_ResidueVol,MoranAuto_Steric,MoreauBrotoAuto_AvFlexibility,MoreauBrotoAuto_FreeEnergy,MoreauBrotoAuto_Hydrophobicity,MoreauBrotoAuto_Mutability,MoreauBrotoAuto_Polarizability,MoreauBrotoAuto_ResidueASA,MoreauBrotoAuto_ResidueVol,MoreauBrotoAuto_Steric,PAAC,QSOSW,QSOgrant,_ChargeC,_HydrophobicityC,_NormalizedVDWVC,_PolarityC,_PolarizabilityC,_SecondaryStrC,_SolventAccessibilityC,taugrant,tausw
CHEMBL115716,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCN([C@@H](C)c3ccc(I)cc3)[C@@H](C)C2)CC1,C-C chemokine receptor type 5,5.0,559.205960836,559.5359999999998,4.0,0.0,4.0,0.0,3.0,33.0,71.0,5.0,1.0,0.5357142857142857,4.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,213.01877008054575,26.790000000000006,5.670040000000006,144.77349999999984,22.93125173216175,13.390720617929862,8.834171371892253,8.834171371892253,6.147378033486018,20.773753440985427,12.311971472341702,8.11500527483348,8.11500527483348,5.787794984956631,-1.4399999999999995,24.677219650205764,10.044686621475144,5.151700530501261,7.511361759867435,2.3190999999999997,0.9937333333333332,0.9847,0.986,1.0011666666666668,1.0024666666666666,0.9963666666666667,0.9946,0.9893333333333333,0.0035666666666666668,-0.011366666666666667,-0.0027666666666666655,0.0014666666666666667,-0.005833333333333333,-0.006933333333333334,-0.001633333333333334,0.005,-0.004866666666666667,-0.015166666666666667,0.09813333333333334,0.027566666666666666,-0.02266666666666667,-0.016033333333333333,-0.0268,-0.004366666666666667,2.69325,0.02,0.02,36.89566666666666,35.804047619047616,35.27585714285714,37.1017619047619,35.41361904761905,35.51947619047619,35.80104761904762,98.22642222222223,98.22642222222223
CHEMBL138274,CCO/N=C(/c1ccc(OC(F)(F)F)cc1)C1CCN(C2(C)CCN(C(=O)c3c(C)cc[n+]([O-])c3C)CC2)CC1,C-C chemokine receptor type 5,4.4,562.276690324,562.6330000000002,8.0,0.0,7.0,0.0,6.0,40.0,77.0,11.0,1.0,0.5517241379310345,4.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,232.4779318904384,81.31,4.982940000000005,144.00349999999986,23.46115387788927,13.713440747158684,8.209085325622718,8.209085325622718,5.7766372025597565,23.46115387788927,13.713440747158684,8.209085325622718,8.209085325622718,5.7766372025597565,-3.3400000000000003,29.63805629240373,12.035716724866992,6.68219510370654,8.917881245275824,2.3190999999999997,0.9937333333333332,0.9847,0.986,1.0011666666666668,1.0024666666666666,0.9963666666666667,0.9946,0.9893333333333333,0.0035666666666666668,-0.011366666666666667,-0.0027666666666666655,0.0014666666666666667,-0.005833333333333333,-0.006933333333333334,-0.001633333333333334,0.005,-0.004866666666666667,-0.015166666666666667,0.09813333333333334,0.027566666666666666,-0.02266666666666667,-0.016033333333333333,-0.0268,-0.004366666666666667,2.69325,0.02,0.02,36.89566666666666,35.804047619047616,35.27585714285714,37.1017619047619,35.41361904761905,35.51947619047619,35.80104761904762,98.22642222222223,98.22642222222223
CHEMBL344607,Cc1nc(-c2ccccc2)nc(C)c1C(=O)N1CCC(C)(N2CCN([C@@H](C)c3ccc(C(F)(F)F)cc3)[C@@H](C)C2)CC1,C-C chemokine receptor type 5,12.0,579.31849556,579.7109999999999,6.0,0.0,5.0,0.0,5.0,42.0,82.0,9.0,1.0,0.4848484848484848,5.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,246.11487045063453,52.57000000000001,6.541240000000007,158.08449999999965,25.078810116383057,14.751029803017516,9.304693746205436,9.304693746205436,6.58746156921348,25.078810116383057,14.751029803017516,9.304693746205436,9.304693746205436,6.58746156921348,-3.2999999999999994,30.16740233314503,11.763667470560572,6.081396358738262,8.449506892803125,2.3190999999999997,0.9937333333333332,0.9847,0.986,1.0011666666666668,1.0024666666666666,0.9963666666666667,0.9946,0.9893333333333333,0.0035666666666666668,-0.011366666666666667,-0.0027666666666666655,0.0014666666666666667,-0.005833333333333333,-0.006933333333333334,-0.001633333333333334,0.005,-0.004866666666666667,-0.015166666666666667,0.09813333333333334,0.027566666666666666,-0.02266666666666667,-0.016033333333333333,-0.0268,-0.004366666666666667,2.69325,0.02,0.02,36.89566666666666,35.804047619047616,35.27585714285714,37.1017619047619,35.41361904761905,35.51947619047619,35.80104761904762,98.22642222222223,98.22642222222223
CHEMBL113072,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCN([C@@H](C)c3ccc(S(C)(=O)=O)cc3)[C@@H](C)C2)CC1,C-C chemokine receptor type 5,3.0,511.2868631719999,511.73200000000026,6.0,0.0,5.0,0.0,5.0,36.0,77.0,7.0,1.0,0.5517241379310345,4.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,216.74727245568536,60.93000000000001,4.468940000000004,145.16629999999984,23.43703042029552,14.960106542924471,9.68172245800377,9.68172245800377,6.670506675150887,22.62053383936779,13.068695004866214,8.553252230777083,8.553252230777083,6.040036162464802,-2.2199999999999998,26.83206478803024,10.26894809266741,5.3841878321367895,7.653807792426985,2.3190999999999997,0.9937333333333332,0.9847,0.986,1.0011666666666668,1.0024666666666666,0.9963666666666667,0.9946,0.9893333333333333,0.0035666666666666668,-0.011366666666666667,-0.0027666666666666655,0.0014666666666666667,-0.005833333333333333,-0.006933333333333334,-0.001633333333333334,0.005,-0.004866666666666667,-0.015166666666666667,0.09813333333333334,0.027566666666666666,-0.02266666666666667,-0.016033333333333333,-0.0268,-0.004366666666666667,2.69325,0.02,0.02,36.89566666666666,35.804047619047616,35.27585714285714,37.1017619047619,35.41361904761905,35.51947619047619,35.80104761904762,98.22642222222223,98.22642222222223
CHEMBL334470,C[C@H]1CN(C2(C)CCN(C(=O)c3c(Cl)c[n+]([O-])cc3Cl)CC2)CCN1[C@@H](C)c1ccc(C(F)(F)F)cc1,C-C chemokine receptor type 5,2.7,558.177616252,559.4600000000004,6.0,0.0,4.0,0.0,4.0,37.0,68.0,11.0,1.0,0.5384615384615384,4.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,224.6730202268634,53.73,5.407600000000006,136.56449999999992,22.575580841833453,13.106134663041326,8.533857159565422,8.533857159565422,6.159498650846706,21.063722949796546,12.350205717022872,7.96071267196649,7.96071267196649,5.553496321164905,-2.07,27.951210412370354,10.594840887103455,5.84507693463964,8.003746673540899,2.3190999999999997,0.9937333333333332,0.9847,0.986,1.0011666666666668,1.0024666666666666,0.9963666666666667,0.9946,0.9893333333333333,0.0035666666666666668,-0.011366666666666667,-0.0027666666666666655,0.0014666666666666667,-0.005833333333333333,-0.006933333333333334,-0.001633333333333334,0.005,-0.004866666666666667,-0.015166666666666667,0.09813333333333334,0.027566666666666666,-0.02266666666666667,-0.016033333333333333,-0.0268,-0.004366666666666667,2.69325,0.02,0.02,36.89566666666666,35.804047619047616,35.27585714285714,37.1017619047619,35.41361904761905,35.51947619047619,35.80104761904762,98.22642222222223,98.22642222222223
CHEMBL337820,Cc1nc(C(F)(F)F)nc(C)c1C(=O)N1CCC(C)(N2CCN([C@@H](C)c3ccc(C(F)(F)F)cc3)[C@@H](C)C2)CC1,C-C chemokine receptor type 5,10.0,571.27458006,571.61,6.0,0.0,4.0,0.0,5.0,40.0,75.0,12.0,1.0,0.6071428571428571,4.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,229.91932456774583,52.57000000000001,5.893040000000006,137.6504999999999,23.32595218946261,13.407292910008396,8.526252064528196,8.526252064528196,5.997911211496519,23.32595218946261,13.407292910008396,8.526252064528196,8.526252064528196,5.997911211496519,-2.729999999999998,30.233696192986887,10.922998527174858,6.1199894560757935,8.256065474676197,2.3190999999999997,0.9937333333333332,0.9847,0.986,1.0011666666666668,1.0024666666666666,0.9963666666666667,0.9946,0.9893333333333333,0.0035666666666666668,-0.011366666666666667,-0.0027666666666666655,0.0014666666666666667,-0.005833333333333333,-0.006933333333333334,-0.001633333333333334,0.005,-0.004866666666666667,-0.015166666666666667,0.09813333333333334,0.027566666666666666,-0.02266666666666667,-0.016033333333333333,-0.0268,-0.004366666666666667,2.69325,0.02,0.02,36.89566666666666,35.804047619047616,35.27585714285714,37.1017619047619,35.41361904761905,35.51947619047619,35.80104761904762,98.22642222222223,98.22642222222223
CHEMBL326020,Cc1cccc(O)c1C(=O)N1CCC(C)(N2CCN([C@@H](C)c3ccc(I)cc3)[C@@H](C)C2)CC1,C-C chemokine receptor type 5,7.0,561.185225392,561.5079999999998,5.0,1.0,4.0,1.0,4.0,33.0,69.0,6.0,1.0,0.5185185185185185,4.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,211.44806171834517,47.02,5.067220000000005,141.70129999999986,22.37846532766171,13.114327415679842,8.60384370335057,8.60384370335057,5.926082951403365,20.220967036485387,12.035578270091682,7.884677606291795,7.884677606291795,5.566499902873978,-1.6399999999999997,24.483487391598377,9.921191661571608,5.075701240805706,7.360768816839981,2.3190999999999997,0.9937333333333332,0.9847,0.986,1.0011666666666668,1.0024666666666666,0.9963666666666667,0.9946,0.9893333333333333,0.0035666666666666668,-0.011366666666666667,-0.0027666666666666655,0.0014666666666666667,-0.005833333333333333,-0.006933333333333334,-0.001633333333333334,0.005,-0.004866666666666667,-0.015166666666666667,0.09813333333333334,0.027566666666666666,-0.02266666666666667,-0.016033333333333333,-0.0268,-0.004366666666666667,2.69325,0.02,0.02,36.89566666666666,35.804047619047616,35.27585714285714,37.1017619047619,35.41361904761905,35.51947619047619,35.80104761904762,98.22642222222223,98.22642222222223
CHEMBL106209,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(C(=O)c3ccc(Br)cc3)CC2)CC1,C-C chemokine receptor type 5,54.0,496.172540396,497.4770000000002,4.0,0.0,4.0,0.0,3.0,32.0,65.0,5.0,1.0,0.4814814814814814,4.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,199.6612258805873,40.620000000000005,5.655540000000006,132.22799999999998,20.95054118706096,12.480016093704435,8.109399605911225,8.109399605911225,5.613374364403602,19.364544647946254,11.687017824147084,7.580734092872989,7.580734092872989,5.349041607884485,-1.9799999999999995,23.18736328147212,9.481718470266925,4.693402283886507,6.870501584460102,2.3190999999999997,0.9937333333333332,0.9847,0.986,1.0011666666666668,1.0024666666666666,0.9963666666666667,0.9946,0.9893333333333333,0.0035666666666666668,-0.011366666666666667,-0.0027666666666666655,0.0014666666666666667,-0.005833333333333333,-0.006933333333333334,-0.001633333333333334,0.005,-0.004866666666666667,-0.015166666666666667,0.09813333333333334,0.027566666666666666,-0.02266666666666667,-0.016033333333333333,-0.0268,-0.004366666666666667,2.69325,0.02,0.02,36.89566666666666,35.804047619047616,35.27585714285714,37.1017619047619,35.41361904761905,35.51947619047619,35.80104761904762,98.22642222222223,98.22642222222223
CHEMBL311795,Cc1ncnc(C)c1C(=O)N1CCC(C)(N2CCN([C@@H](C)c3ccc(C(F)(F)F)cc3)[C@@H](C)C2)CC1,C-C chemokine receptor type 5,3.0,503.287195432,503.61300000000017,6.0,0.0,4.0,0.0,5.0,36.0,72.0,9.0,1.0,0.5925925925925926,4.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,211.0577762445705,52.57000000000001,4.874240000000006,132.6485,21.769409039624552,12.65953038448892,8.22826058106835,8.22826058106835,5.74780161518972,21.769409039624552,12.65953038448892,8.22826058106835,8.22826058106835,5.74780161518972,-2.519999999999999,26.540422437673133,10.090114437961947,5.272120319211411,7.438774989665969,2.3190999999999997,0.9937333333333332,0.9847,0.986,1.0011666666666668,1.0024666666666666,0.9963666666666667,0.9946,0.9893333333333333,0.0035666666666666668,-0.011366666666666667,-0.0027666666666666655,0.0014666666666666667,-0.005833333333333333,-0.006933333333333334,-0.001633333333333334,0.005,-0.004866666666666667,-0.015166666666666667,0.09813333333333334,0.027566666666666666,-0.02266666666666667,-0.016033333333333333,-0.0268,-0.004366666666666667,2.69325,0.02,0.02,36.89566666666666,35.804047619047616,35.27585714285714,37.1017619047619,35.41361904761905,35.51947619047619,35.80104761904762,98.22642222222223,98.22642222222223
CHEMBL140552,CCO/N=C(/c1ccc(Br)cc1)C1CCN(C2(C)CCN(C(=O)c3c(C)nc(C(F)(F)F)nc3C)CC2)CC1,C-C chemokine receptor type 5,3.2,609.19262212,610.5189999999999,7.0,0.0,6.0,0.0,6.0,39.0,74.0,11.0,1.0,0.5714285714285714,4.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,235.4933385092501,70.92,6.022240000000006,146.65249999999983,24.401131366206187,14.145211812496362,8.471794226537845,8.471794226537845,5.893244242321904,22.81513482709148,13.35221354293901,7.943128713499609,7.943128713499609,5.628911485802787,-2.53,29.452616835471822,11.916476977891897,6.620724267586669,8.999267447655674,2.3190999999999997,0.9937333333333332,0.9847,0.986,1.0011666666666668,1.0024666666666666,0.9963666666666667,0.9946,0.9893333333333333,0.0035666666666666668,-0.011366666666666667,-0.0027666666666666655,0.0014666666666666667,-0.005833333333333333,-0.006933333333333334,-0.001633333333333334,0.005,-0.004866666666666667,-0.015166666666666667,0.09813333333333334,0.027566666666666666,-0.02266666666666667,-0.016033333333333333,-0.0268,-0.004366666666666667,2.69325,0.02,0.02,36.89566666666666,35.804047619047616,35.27585714285714,37.1017619047619,35.41361904761905,35.51947619047619,35.80104761904762,98.22642222222223,98.22642222222223
